"Alex Aiken, Stanford University, USA"
"Matthias Blume, Google, USA"
"Gilles Barthe, IMDEA Software, Spain"
"Lars Birkedal, IT U. of Copenhagen, Denmark"
"Avik Chaudhuri, Adobe Systems, USA"
"Swarat Chaudhuri, Rice University, USA"
"Derek Dreyer, MPI-SWS, Germany"
"Michael Emmi, Univ. Paris Diderot, France"
"Cédric Fournet, Microsoft Research, UK"
"Daniel Frampton, Australian National U., Australia"
"Simon Gay, University of Glasgow, UK"
"Giorgio Ghelli, Università di Pisa, Italy"
"Robert Grimm, New York University, USA"
"Vineet Gupta, Google, USA"
"Chris Hawblitzel, Microsoft Research, USA"
"Jonathan Hayman, INRIA, France"
"Martin Hofmann, Ludwig-Maximilians U., Germany"
"Ranjit Jhala, University of California, San Diego, USA"
"K. Rustan M. Leino, Microsoft Research, USA"
"Sorin Lerner, University of California, San Diego, USA"
"Yitzhak Mandelbaum, SEI-CMU, USA"
"Damien Massé, U. de Bretagne Occidentale, France"
"Isabella Mastroeni, Università di Verona, Italy"
"Maged M. Michael, IBM Research, USA"
"Todd Millstein, Univ. of California, Los Angeles, USA"
"Greg Morrisett, Harvard University, USA"
"Leonardo de Moura, Microsoft Research, USA"
"Andrew C. Myers, Cornell University, USA"
"Tamiya Onodera, IBM Research, Japan"
"Jens Palsberg, Univ. of California, Los Angeles, USA"
"Prakash Panangaden, McGill University, Canada"
"Erez Petrank, Technion, Israel"
"University of Freiburg"
"François Pottier, INRIA, France"
"Maurizio Proietti, CNR, Italy"
"German Puebla, Univ. Politecnica de Madrid, Spain"
"Martin C. Rinard, MIT, USA"
"Sukyoung Ryu, KAIST, Korea"
"Francesca Scozzari, Univ. di Chieti-Pescara, Italy"
"Jeremy G. Siek, Univ. of Colorado, Boulder, USA"
"Armando Solar-Lezama, MIT, USA"
"Eijiro Sumii, Tohoku University, Japan"
"Tachio Terauchi, Nagoya University, Japan"
"Ashish Tiwari, SRI International, USA"
"Viktor Vafeiadis, MPI-SWS, Germany"
"Arnaud Venet, NASA Ames Research Center, USA"
"Janis Voigtländer, University of Bonn, Germany"
"Mitchell Wand, Northeastern University, USA"
"Eran Yahav, Technion, Israel"
"Francesco Zappa Nardelli, INRIA, France"
